Sr. No.,Client Name,Credit Limit,Address,City,State,ZIP Code,Contact Person Name,Contact Person Mobile,Contact Person Mobile 2 (Optional),Contact Person Email (Optional),GST No,Client Category
N40,Mazda Sion,30000,"shop no 2, plot no 31, Sion Mansion, Sion west, Sindhi colony, Sion, ",Mumbai,Maharashtra,400022,Living Liquidz,9702761174,2224024106,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N41,Megzee wine,30000,"Ramodiya mansion no 2, Shop no 3, 260, Dr A B Road, Opp century bazar, Worli.",Mumbai,Maharashtra,400025,Living Liquidz,9702343840,2224378759,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N42,Trimurti wine ,30000,"Shop No 4, Monalis, Old Lbs Marg, Thane West, Thane - 400601, Near Hari Niwas Circle",Thane,Maharashtra,400601,Living Liquidz,8097919434,,Prathmesh@deliverifynow.com,27AAACK2613E1Z1,HoReCa
N43,Lemon Lokandwala,30000,Shop no 6 Sheetal Apts Next to ICIC Back Lokhandwala Complex Andheri West.,Mumbai,Maharashtra,400053,Lemon Salon,9920969201,,"lemon.sumer@gmail.com, lemon.qurat@gmail.com",27AIKPD5078K1ZW,HoReCa
N44,Lemon Oshiwara,30000,Order for lemon Shop no. 17  Meera Tower Oshiwara Branch,Mumbai,Maharashtra,400053,Lemon Salon,8449906697,,"lemon.sumer@gmail.com, lemon.qurat@gmail.com",27AIKPD5078K1ZW,HoReCa
N45,Lemon Malad,30000,"Shop no 10, rustomjee ozone project , goregao mulund link road , goregao west",Mumbai,Maharashtra,400104,Lemon Salon,7715875138,,"lemon.sumer@gmail.com, lemon.qurat@gmail.com",27AIKPD5078K1ZW,HoReCa
N46,Lemon Borivali,30000,Shop no 8 kent gardens B factory lane opp jambli gali borivali west,Mumbai,Maharashtra,400092,Lemon Salon,9664666674,,"lemon.sumer@gmail.com, lemon.qurat@gmail.com",27AIKPD5078K1ZW,HoReCa
N47,Lemon backroad,30000,"Joggers' Park, Shop No. 1, Samarth Siddhi, Opp. Starbucks Near, Andheri (W, Mumbai, Maharashtra 400102",Mumbai,Maharashtra,400053,Lemon Salon,7710030778,,"lemon.sumer@gmail.com, lemon.qurat@gmail.com",27CZKPS5636R1Z7,HoReCa
N48,Lemon 7 bunglows,30000,"Gold crown society, Shop no 5,7 bunglow, Opp icici bank Atm, Andheri west .",Mumbai,Maharashtra,400061,Lemon Salon,8459410087,,"lemon.sumer@gmail.com, lemon.qurat@gmail.com",27AIKPD5078K1ZW,HoReCa
N49,Lemon Bandra,30000,"Sunrise apartments shop no 4. Water field road,
Opp ojas eye hospital,
bandra west.",Mumbai,Maharashtra,400050,Lemon Salon,7977244035,,"lemon.sumer@gmail.com, lemon.qurat@gmail.com",27CZKPS5636R1Z7,HoReCa
N50,Rampunjab,30000,"Shop No 6-11, Kavarana Terrace, Dr. Baba saheb Ambedkar Road, Byculla (E), Mumbai, Maharashtra 400027",Mumbai,Maharashtra,400027,Rampunjab,9987500086,9768792958,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,HoReCa
N51,YOLO,30000,"719, Tata Rd No 2, Charni Road East, Opera House, Girgaon, Mumbai, Maharashtra 400004",Mumbai,Maharashtra,400004,Jacky,9222222915,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,HoReCa
N52,F For Fries,30000,"131, Rambhau Bhogle Marg, Anjeer Wadi, Mustafa Bazar, Mazgaon, Mumbai, Maharashtra 400010",Mumbai,Maharashtra,400010,Akbar,9821612044,,Prathmesh@deliverifynow.com,27AAFFF7325L1Z5,HoReCa
N53,Tuck Box,30000,"The Tuckbox, M-1, Paras Centre, Tata Road No. 2, Opposite Central Plaza Theatre, Charni Road East, Opera House, Mumbai, 400004",Mumbai,Maharashtra,400004,Munna,9967012791,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,HoReCa
N54,Ashish Wines,30000,"Shop no 6, Rajni Mahal, Tardeo Rd, Arya Nagar, Tulsiwadi, Tardeo, Mumbai, Maharashtra 400034",Mumbai,Maharashtra,400034,Ashish,9699799722,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,HoReCa
N55,Welcome Milk Centre,3000,"Suklaji street, Tanki wala Bilding, Mumbai, Maharashtra 400008",Mumbai,Maharashtra,400008,Akhtar Bhai,9664038078,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N56,Tawakkal Pan House,3000,"1, pearl arcade, Tata rd .no 2, Charni Road, Mumbai - 400004",Mumbai,Maharashtra,400004,Manoj,9653399265,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N57,Pandeyji Naaz,3000,"Naaz Cinema Building, 393, Lamington Rd, Charni Road East, Grant Road East, Shapur Baug, Grant Road, Mumbai, Maharashtra 400004",Mumbai,Maharashtra,400004,Radheshaam Pandey,9987936042,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N58,Priya Bar,30000,"Ahmed Building, Dr Baba Saheb Ambedkar Rd, Byculla West, Byculla, Mumbai, Maharashtra 400027",Mumbai,Maharashtra,400027,piklu,9957169449,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,HoReCa
N59,Deepesh Goyal,50000,"1 & 2, Jai mahavir darshan, carter road no. 5, opp. Green's hotel, Borivali East, Mumbai, Maharashtra 400066",Mumbai,Maharashtra,400066,Deepesh,9898008306,7021527942,Prathmesh@deliverifynow.com,27AQPG9605G1Z1,Distributor
N60,Nazeer Shaikh,30000,"shop no 93,Indra Nagar , KK Marg , 90feet Road,Dharavi ,Mumbai 400017",Mumbai,Maharashtra,400017,Mani,9029632220,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,Distributor
N61,Kartik Singh,50000,"Near Grand Hyaat, Bandra Kurla Complex Vicinity, Off Western Express Highway, Santacruz East, Mumbai, Maharashtra 400055",Mumbai,Maharashtra,400055,Rajan,9004614359,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,Distributor
N62,Rajan Singh,50000,"Thakur Village, Kandivali East Inside Thakur college of science and commerce Bldg. Ground floor, Singh Agri Estate, Mumbai, Maharashtra 400067",Mumbai,Maharashtra,400067,Rajan,9004614359,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,Distributor
N63,Jay Ambe Agency,5000,Santacruz,Mumbai,Maharashtra,400054,Baban,9867856381,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,Distributor
N64,Diamond Queen,30000,"Byculla West, Byculla, Mumbai, Maharashtra 400011",Mumbai,Maharashtra,400011,Rahul,9930918957,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,HoReCa
N65,Hotel Deepak,30000,"Opposite Street Joseph's School, Plot No. 86, National Highway Road No.5 Sand Hurst Road, Mumbai, Maharashtra 400009",Mumbai,Maharashtra,400009,Naamdev,9920131721,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,HoReCa
N66,A-1 Zaika,3000,Prabhadevi,Mumbai,Maharashtra,400025,A-1 Zaika,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N67,Aarey - Opposite Maharashtra Store,3000,Dadar West,Mumbai,Maharashtra,400028,Aarey - Opposite Maharashtra Store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N68,Aarey 257 G,3000,"Phool Market, Dadar",Mumbai,Maharashtra,400028,Aarey 257 G,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N69,Aarey 4245/Z,3000,Elphinston,Mumbai,Maharashtra,400014,Aarey 4245/Z,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N70,Aarey 5059,3000,Matunga West,Mumbai,Maharashtra,400016,Aarey 5059,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N71,Aarey 5315/Z,3000,Dadar West,Mumbai,Maharashtra,400028,Aarey 5315/Z,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N72,Aarey 5903/Z,3000,Dadar West,Mumbai,Maharashtra,400028,Aarey 5903/Z,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N73,Aarey Center  ,3000,Dadar West,Mumbai,Maharashtra,400028,Aarey Center  ,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N74,Aarey Dairy,3000,Dadar West,Mumbai,Maharashtra,400028,Aarey Dairy,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N75,Aarey Energy 135,3000,Mahim,Mumbai,Maharashtra,400016,Aarey Energy 135,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N76,Aarey matunga,3000,Matunga West,Mumbai,Maharashtra,400016,Aarey matunga,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N77,Aarey VS 23,3000,"Century Market, Worli",Mumbai,Maharashtra,400025,Aarey VS 23,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N78,Adarsh Milk Centre,3000,Matunga West,Mumbai,Maharashtra,400016,Adarsh Milk Centre,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N79,Aditaya fast food,3000,"Century Market, Worli",Mumbai,Maharashtra,400025,Aditaya fast food,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N80,Amul VadaPav,3000,Dadar West,Mumbai,Maharashtra,400028,Amul VadaPav,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N81,Annapurna Bhojnalay,3000,"Phool Market, Dadar",Mumbai,Maharashtra,400028,Annapurna Bhojnalay,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N82,Anusaya General Store,3000,Prabhadevi,Mumbai,Maharashtra,400025,Anusaya General Store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N83,Aruna General Store,3000,"Century Market, Worli",Mumbai,Maharashtra,400025,Aruna General Store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N84,Ashtavinayak Pan Bidi Shop,3000,Worli,Mumbai,Maharashtra,400018,Ashtavinayak Pan Bidi Shop,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N85,Ashtavinayak Vadapav,3000,Elphinston,Mumbai,Maharashtra,400014,Ashtavinayak Vadapav,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N86,Asmita PCO,3000,Matunga West,Mumbai,Maharashtra,400016,Asmita PCO,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N87,Aswad Mithai Farsan,3000,Adarsh Nagar Worli,Mumbai,Maharashtra,400030,Aswad Mithai Farsan,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N88,Avani Dairy,3000,Dadar West,Mumbai,Maharashtra,400028,Avani Dairy,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N89,Badshah P/B Shop,3000,"Phool Market, Dadar",Mumbai,Maharashtra,400028,Badshah P/B Shop,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N90,Banglor Iyangar Bakery,3000,Elphinston,Mumbai,Maharashtra,400014,Banglor Iyangar Bakery,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N91,Banshi Nimbupani,3000,Dadar West,Mumbai,Maharashtra,400028,Banshi Nimbupani,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N92,Bhairav Catres,3000,Elphinston,Mumbai,Maharashtra,400014,Bhairav Catres,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N93,Bharat P/B Store,3000,Mahim,Mumbai,Maharashtra,400016,Bharat P/B Store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N94,Bhavani Fast Food,3000,Mahim,Mumbai,Maharashtra,400016,Bhavani Fast Food,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N95,Bhavesh Vadapav,3000,"Phool Market, Dadar",Mumbai,Maharashtra,400028,Bhavesh Vadapav,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N96,Cake smith,3000,Lalbaug,Mumbai,Maharashtra,400012,Cake smith,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N97,Chetan store,3000,Dadar West,Mumbai,Maharashtra,400028,Chetan store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N98,Chintamani Fast Food,3000,"Agar Bazar, Dadar",Mumbai,Maharashtra,400028,Chintamani Fast Food,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N99,Coastal Tadka,3000,Elphinston,Mumbai,Maharashtra,400014,Coastal Tadka,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N100,Dadar Gupta Store,3000,"Phool Market, Dadar",Mumbai,Maharashtra,400028,Dadar Gupta Store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N101,Deepak Farshan,3000,Elphinston,Mumbai,Maharashtra,400014,Deepak Farshan,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N102,Energy center 257,3000,"Phool Market, Dadar",Mumbai,Maharashtra,400028,Energy center 257,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N103,Hariya G store,3000,Prabhadevi,Mumbai,Maharashtra,400025,Hariya G store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N104,Ishant General Store,3000,"Century Market, Worli",Mumbai,Maharashtra,400025,Ishant General Store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N105,Jagdish Biscuite Store,3000,Mahim,Mumbai,Maharashtra,400016,Jagdish Biscuite Store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N106,Jai Maharashtra Store,3000,Dadar West,Mumbai,Maharashtra,400028,Jai Maharashtra Store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N107,Jaiswal P/B Shop,3000,Prabhadevi,Mumbai,Maharashtra,400025,Jaiswal P/B Shop,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N108,just chill,3000,Elphinston,Mumbai,Maharashtra,400014,just chill,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N109,Kamgar society,3000,Matunga West,Mumbai,Maharashtra,400016,Kamgar society,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N110,Karba's Z-5295,3000,Dadar West,Mumbai,Maharashtra,400028,Karba's Z-5295,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N111,Kiran General Store,3000,"Agar Bazar, Dadar",Mumbai,Maharashtra,400028,Kiran General Store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N112,Korgaonkar P/B Shop,3000,"Hindmata, Dadar East",Mumbai,Maharashtra,400014,Korgaonkar P/B Shop,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N113,Krishna Hotel,3000,Dadar West,Mumbai,Maharashtra,400028,Krishna Hotel,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N114,Madhvi Dairy,3000,New Prabhadevi,Mumbai,Maharashtra,400025,Madhvi Dairy,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N115,Maharashtra Milk Dairy,3000,Dadar West,Mumbai,Maharashtra,400028,Maharashtra Milk Dairy,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N116,Maharashtra Mishthan,3000,Elphinston,Mumbai,Maharashtra,400014,Maharashtra Mishthan,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N117,Mahim Store,3000,Mahim,Mumbai,Maharashtra,400016,Mahim Store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N118,Mauli PCO,3000,Worli,Mumbai,Maharashtra,400018,Mauli PCO,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N119,Milind General Store,3000,Elphinston,Mumbai,Maharashtra,400014,Milind General Store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N120,MK Bhelpuri,3000,Prabhadevi,Mumbai,Maharashtra,400025,MK Bhelpuri,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N121,Nagori Maharashtra Tea Point,3000,Prabhadevi,Mumbai,Maharashtra,400025,Nagori Maharashtra Tea Point,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N122,National Dairy,3000,"Koli Wada, Worli",Mumbai,Maharashtra,400030,National Dairy,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N123,New Arti Dairy,3000,"Century Market, Worli",Mumbai,Maharashtra,400025,New Arti Dairy,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N124,New Gupta Store,3000,"Phool Market, Dadar",Mumbai,Maharashtra,400028,New Gupta Store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N125,New Maharashtra store,3000,Mahim,Mumbai,Maharashtra,400016,New Maharashtra store,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N126,New National Dairy,3000,"Century Market, Worli",Mumbai,Maharashtra,400025,New National Dairy,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
N127,Nimbu Pani ,3000,Elphinston,Mumbai,Maharashtra,400014,Nimbu Pani ,9967521850,,Prathmesh@deliverifynow.com,27AAAAA1111A1AA,GT
